title,location,company,url,image_url,apply_url,ago,applicants,text,info
"Data Scientist, Machine Learning","Mountain View, CA",Optello,https://www.linkedin.com/jobs/view/data-scientist-machine-learning-at-optello-1996953344,,,,,"We are an industry leading software company catering to the Financial Services Industry. Our cutting edge software is used by some of the worlds most well- known brands. Our secure platform is built with the latest Machine Learning technologies and helps our clients see anywhere from 30-40% performance improvement over traditional methods! With these off-the-chart metrics, the demand for our innovative software suite has gone through the roof! We now have an urgent need for talented Data Scientist with a strong Machine Learning background to join our team!

Top Reasons to Work with Us

  * Industry Leader
  * Talented technical team
  * Tons of room for upward career growth

What You Need for this Position

3+ Years of Data Science experience and knowledge of:

  * Developing practical ML solutions with an emphasis on regression and classification techniques
  * Ability to write production code in Python
  * Strong experience with GLM and linear regressions
  * SQL experience
  * Experimental Design and A/B testing
  * Behavioral Economics, Predictive Modeling & Predictive Analytics is highly desired
  * Bachelors degree (or higher) in Computer Science or related field
  * Experience with pricing models is highly preferred

What's In It for You

## EXCELLENT Benefits Including

  * Competitive salaries (DOE)
  * Bonus/equity
  * Vacation/PTO
  * Medical
  * Dental
  * Vision
  * 401(k) and much more!

So, if you're a Data Scientist with strong ML experience, please apply today!

OR send your resume AND salary requirements to me directly: brenna.boies@Optello.com

## Email Your Resume In Word To

Looking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:

Brenna.Boies@Optello.com

  * Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : BB7-1594463 -- in the email subject line for your application to be considered.***

Brenna Boies - Sr. Executive Recruiter - Optello

Applicants must be authorized to work in the U.S.

**Optello is proud to be an Equal Opportunity Employer**

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

**Your Right to Work** - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

Information Technology

  * ### Industries

ConstructionComputer SoftwareFinancial Services"
Data Scientist,"Fremont, CA",Tesla,https://www.linkedin.com/jobs/view/data-scientist-at-tesla-2147874276,https://media-exp1.licdn.com/dms/image/C4E0BAQFpB9xyi5w8IQ/company-logo_100_100/0?e=1606953600&v=beta&t=5PrpIaQHBVnzd_WaBwKxU6QWl2PoZ75_K4VJ_8Wo45k,https://www.linkedin.com/jobs/view/externalApply/2147874276?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fjob%2Fid%3D69979&urlHash=9tOe&trk=public_jobs_apply-link-offsite,,,"**THE ROLE**

Tesla's mission is to accelerate the world's transition to sustainable energy. Tesla's Finance Analytics team sits at the intersection of financial analysis, business intelligence, data engineering, and data science to support this mission by converting raw data into actionable insights.

We are looking for a senior data scientist who can play a foundational role in measuring, predicting, and managing risk across Tesla.

## Responsibilities

  * Contribute on all the stages of Data Science projects: from performing raw data mining to translating complex technical topics into business solutions.
  * Effectively communicate actionable insights into Product offerings at all levels of the organization.
  * Collaborate closely with leadership, engineering, and other stakeholders to improve our view of modeling and decision engines.
  * Solve complex industrial and technical problems using advanced mathematical modeling and optimization techniques, including but not limited to, big data pre-processing, problem formulation, features engineering, algorithmic selection and evaluation, hyper-parameter tuning for machine learning, and deployment.

## Requirements

  * MS. or equivalent experience in a quantitative field (i.e. Predictive Analytics, Applied Mathematics, Statistics, Computer Science, Artificial Intelligence, Engineering).
  * Proven track record of delivering risk predictive models and analytics for financial industry using regression analysis, time series, probabilistic models, supervised and unsupervised methods at various customers interaction stages as underwriting, early warning risk detection and losses forecast.
  * Proficiency in Python, SQL and experience with ML libraries and frameworks like Scikit-learn, h2o or Spark ML.
  * Experience engineering information out of massive, complex and, in some cases, unstructured datasets.
  * Ability to apply a strong business sense with technical skills to effectively balance decisions around the complexity and speed of the project delivery.
  * Strong written, verbal, and interpersonal communication skills. Ability to effectively communicate at all levels in the organization.
  * Ability to self-start and self-direct work in an unstructured environment, comfortable dealing with ambiguity.
  * Excellent problem-framing, problem solving and project management skills and ability to change direction quickly.

## Preferred

  * Experience working within a Big Data environment.
  * Experience with git and version control workflows.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

AutomotiveRenewables & EnvironmentUtilities"
"Data Scientist II, Machine Learning","Mountain View, CA",Coursera,https://www.linkedin.com/jobs/view/data-scientist-ii-machine-learning-at-coursera-2012978463,https://media-exp1.licdn.com/dms/image/C4E0BAQGt72dvhq4yRA/company-logo_100_100/0?e=1606953600&v=beta&t=VYEamscHw9cfdj9pWqE6S-hq-rLh4fhzU8q8KawkxyY,https://www.linkedin.com/jobs/view/externalApply/2012978463?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fcoursera%2F71833393-5afb-4565-ae7c-c5a1387cea68&urlHash=jQUj&trk=public_jobs_apply-link-offsite,4 weeks ago,Be among the first 25 applicants,"Coursera is a leading online learning platform for higher education, where
**64 million learners** from around the world come to learn skills of the future. **More than 200** of the world's top universities and industry educators partner with Coursera to offer courses, Specializations, certificates, and degree programs. **2,500 companies** trust the company's enterprise platform Coursera for Business to transform their talent. Coursera for Government equips government employees and citizens with in-demand skills to build a competitive workforce. Coursera for Campus empowers any university to offer high-quality, job-relevant online education to students, alumni, faculty, and staff. Coursera is backed by leading investors that include Kleiner Perkins, New Enterprise Associates, Learn Capital, and SEEK Group.

At Coursera, our Data Science team is helping to build the future of education through data-powered products and data-driven decisions. In Machine Learning, we define, develop, and launch the models and algorithms that power content discovery, personalized learning, and machine-assisted teaching and grading. In Decision Science, we drive product and business strategy through measurement, experimentation, and causal inference. We believe the next generation of teaching and learning should be personalized, accessible, and efficient. With our scale, data, technology, and talent, Coursera and its Data Science team are positioned to make that vision a reality.

We are looking for a creative and collaborative Data Scientist with strong experience in cloud services. In this role, you will own Coursera's search experience while helping scale Coursera's ML systems. Our ideal candidate possesses a strong statistical and computational skillset, is collaborative and impact-driven, and shares our passion for education.

## Your Responsibilities

    * Ideate, prototype, and productionize ML solutions to improve Coursera's search engine and discovery experience
    * Design, deploy and scale end-to-end machine learning / deep learning pipelines and models with AWS cloud services
    * Extend existing ML libraries and frameworks
    * Partner with Product Managers and Engineers to identify and articulate opportunities, build efficient and scalable ML solutions, and proactively drive data product adoption
    * Distill insights from complex data and/or data product results; communicate findings clearly to both technical and non-technical audiences
    * Develop metrics to evaluate data product performance and drive improvements

## Basic Qualifications

    * At least 3 years of work experience in deployment and scaling of Machine Learning and Deep Learning algorithms on AWS cloud services (Sagemaker, Lambda, Cloudwatch, etc.)
    * 3+ years of experience with one or more of the following: natural language processing, recommender systems, ranking systems, or similar
    * Solid background in machine learning frameworks like TensorFlow, PyTorch, Scikit Learn, etc.
    * Knowledge of software development tools like Git, CI/CD, Docker, etc.
    * Experience with one or more programming languages (e.g., Python, Scala, Java)
    * Proficient with relational databases and SQL
    * Strong project management and cross-functional collaboration skills
    * Excellent problem solving, critical thinking, analytical and interpersonal skills

## Preferred Qualifications

    * Experience with online controlled experimentation
    * Masters degree or above

**If this opportunity interests you, you might like these courses on Coursera:**

    * Recommender Systems
    * Machine Learning
    * Sentiment Analysis with Deep Learning Using BERT

Coursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.

Please review our CCPA Applicant Notice here.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
Data Scientist - Machine Learning,"Santa Clara, CA",Cognizant,https://www.linkedin.com/jobs/view/data-scientist-machine-learning-at-cognizant-1983826750,https://media-exp1.licdn.com/dms/image/C560BAQGhfqdEXVWVYQ/company-logo_100_100/0?e=1606953600&v=beta&t=RjdCKuCvxULmLKXRZlOVJ6J-KYFZHZS-4LYe8FJ0_3Y,https://www.linkedin.com/jobs/view/externalApply/1983826750?url=https%3A%2F%2Fcareers%2Ecognizant%2Ecom%2Fna%2Fen%2Fjob%2FCOGNGLOBAL00038449061%2FData-Scientist-Machine-Learning%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26src%3DSNS-102&urlHash=yKAV&trk=public_jobs_apply-link-offsite,1 week ago,,"Cognizant AI and Analytics team is looking for an experienced Data Scientist

  * Experience in working with the Data Science/Machine Learning team to operationalize solutions is an added advantage.
  * Experience range five to ten years
  * Excellent Python programming skills: PEP8 coding standards, Unit testing with PyUnit/pytest, Writing Python modules, Exposure to ETL with Python, SQL Alchemy, Pysopg2, PyMySQL, Hands-on knowledge in Pandas, Exposure to matplotlib and Jupyte, notebooks, Sound understanding of Object-Oriented concepts and Data Structures, Creating REST API with Flask/Django
  * Experience in micro services
  * Hands-on experience in container technologies
  * SQL: Advanced SQL skills
  * Cloud Technologies. Azure Cloud - Required; AWS - Optional ; GCP - Optional
  * Software Engineering for ML: Deploy Machine Learning models in production, Create data pipelines with Python
  * Operating Systems: Windows 10, Windows Server R12, RHEL 7.1
  * DevOps: Github/Bitbucket/Git - required, JIRA/Confluence - required, Jenkins - Nice to have, CI/CD - nice to have
  * Software Engineering for ML: Deploy Machine Learning models in production, Create data pipelines with Python
  * Operating Systems: Windows 10, Windows Server R12, RHEL 7.1

Employee Status : Full Time Employee

Shift : Day Job

Travel : No

Job Posting : Aug 14 2020

## About Cognizant

Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @USJobsCognizant.

Cognizant is recognized as a Military Friendly Employer and is a coalition member of the Veteran Jobs Mission. Our Cognizant Veterans Network assists Veterans in building and growing a career at Cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service.

Cognizant is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender, identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

If you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Information Technology and ServicesManagement Consulting"
"Data Scientist, Machine Learning - Game Matchmaking - San Mateo","San Mateo, CA",Gamesmith,https://www.linkedin.com/jobs/view/data-scientist-machine-learning-game-matchmaking-san-mateo-at-gamesmith-2005459682,https://media-exp1.licdn.com/dms/image/C4E0BAQEwd5AfX3d0kA/company-logo_100_100/0?e=1606953600&v=beta&t=7sprOkDsINM-bmzET69-OdE29wykHQbRK6XYNdT_E8E,https://www.linkedin.com/jobs/view/externalApply/2005459682?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3D893ae4cde0dc%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8add79ddddadfgadb7ddc8add7adcbadbfddg3aeccacdfec3ddcg3e&urlHash=EObR&trk=public_jobs_apply-link-offsite,2 weeks ago,,"**Data Scientist, Machine Learning - Game Matchmaking**

**WHY ROBLOX?**

Roblox is ushering in the next generation of entertainment, allowing people to imagine, create, and play together in an immersive, user-generated worlds. We're the one and only fastest-growing entertainment platform that lets anyone teach themselves how to code, publish, and monetize any experience imaginable- across any device-reaching millions of players across the globe.

The impact that you can have at Roblox is powerful. We're looking for someone who's eager to take on a meaningful role in the success of Roblox on a massive scale. Someone who takes play seriously, but also isn't afraid to have some fun either. Someone who's ready to take Roblox-and their career-to the next level.

In 2018, we were honored to be recognized as a Certified ®. We've fostered a company culture that empowers people to do the most defining work of their career in an environment that's made up of the most passionate, team-oriented, visionary, crazy-smart people you'll ever meet. Join the Roblox team where play rules and the possibilities are endless.

Work with the most passionate, team-oriented, visionary, and crazy-smart people you'll ever meet.

As a Data Scientist for Matchmaking, you'll be a key participant in helping our users find the right players to play games with at Roblox. You'll partner with data scientists, product managers and engineers to better understand our developers via performing ad hoc analysis, creating dashboards, defining KPIs, and applying models.

## You Are

  * Passionate about data. You have the curiosity and self-drive to continuously learn new techniques and tools to extract value from data. You have a degree in Statistics, Economics, Computer Science or other relevant field.
  * A strong communicator. You understand that analysis must be presented in meaningful ways and engage in spirited discussions about the findings. You have the ability to explain technical concepts to non-technical audience.
  * A capable statistician. You understand the value of characterizing data by its distribution. Covariance, Bias, and Conditional Probability are concepts that you rely on every day.
  * An expert with SQL and a scripting language such as Python or R. You're experienced in automating efforts and crunching massive volumes of data.
  * Big Bonus: A love for Roblox and game development
**You Will:**

    * Accelerate product development through your understanding of the underlying data and your ability to partner with product and technical leaders to provide insights that drive growth.
    * Access raw data, and then transform it, analyze it, and render it in a compelling way--all using a custom analytics tool kit built from state-of-the-art open-source libraries.
    * Build dashboards to understand root causes to changes in metrics.
    * Evaluate A/B experiments to determine success of product feature launches.
    * Influence how Roblox interacts with its players and its platform developers
**You'll Love:**

      * Excellent medical, dental, and vision coverage
      * A rewarding 401k program
      * Flexible vacation policy
      * Free catered lunches five times a week and several fully stocked kitchens with unlimited snacks
      * Onsite fitness center and fitness program credit
      * Annual CalTrain Go Pass
      * A Roblox Admin badge for your avatar
**Roblox - Powering Imagination.**","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Marketing and AdvertisingComputer SoftwareInternet"
Data Scientist (Remote),"San Jose, CA",Blue Orange Digital,https://www.linkedin.com/jobs/view/data-scientist-remote-at-blue-orange-digital-2014741618,https://media-exp1.licdn.com/dms/image/C560BAQHcRISjODRzOw/company-logo_100_100/0?e=1606953600&v=beta&t=CKbgolSO7vsPeqvySaRP_cLeUf4-slLyljRxd8UoKpw,https://www.linkedin.com/jobs/view/externalApply/2014741618?url=https%3A%2F%2Fjooble%2Eorg%2Fexternal%2F-5071962059599041687%3Futm_campaign%3DUS%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=VOVN&trk=public_jobs_apply-link-offsite,1 week ago,Be among the first 25 applicants,"**This role is contract to hire.**

Blue Orange Digital is looking for a Machine Learning Engineer to join our awesome multi-disciplinary team. We build data analytics platforms for our clients that incorporate machine learning to solve business problems. Blue Orange Digital works across multiple industries, this role provides an exciting set of experiences across a wide range of domains.

Your primary focus will be the architecting and developing systems that include data ingestion, data processing, algorithm development, and ML model development & deployment. Major technologies involved include AWS, Python 3, Spark, Pandas, Tensorflow. The ideal candidate for this position has a mixture of experience in Machine Learning model development, Cloud Engineering, and Data Engineering.

## Core Responsibilities & Skills

  * Architecting, building and maintaining modern, scalable data architectures on AWS
  * Solving problems using Machine Learning and delivering ML solutions all the way to production
  * Building resilient ETL pipelines using workflow orchestration tools such as Airflow, Prefect, Luigi
  * Data exploration, analysis, and reporting with an eye towards developing a narrative using Notebooks.
  * Demonstrable experience in one or more of the following specializations: NLP, pattern detection, anomaly detection, predictive modeling, and optimization

## Qualifications

  * BA/BS degree in Computer Science or a related technical field, or equivalent practical experience.
  * Advanced experience in Python with an excellent understanding of computer science fundamentals, data structures, and algorithms
  * Experience in Amazon AWS, DevOps and Automation
  * Experience with distributed machine learning using tools like Dask, Tensorflow, Kubeflow
  * Enjoys collaborating with other engineers on architecture and sharing designs with the team
  * Interacts with others using sound judgment, good humor, and consistent fairness in a fast-paced environment","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
"Data Scientist, Machine Learning (Resilience)","Menlo Park, CA",One Concern,https://www.linkedin.com/jobs/view/data-scientist-machine-learning-resilience-at-one-concern-2006403871,https://media-exp1.licdn.com/dms/image/C560BAQGaaZsAaQVYCg/company-logo_100_100/0?e=1606953600&v=beta&t=SY5Rv45JrC9TKP4x9hWfsRZc1T5Mze-YMJZABUwiI-8,https://www.linkedin.com/jobs/view/externalApply/2006403871?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Foneconcern%2Fa52d70e4-e193-44ce-89bc-c72df270cd95%2Fapply%3Flever-source%3DLinkedIn&urlHash=Jzgu&trk=public_jobs_apply-link-offsite,3 weeks ago,,"One Concern is a Menlo Park-based benevolent artificial intelligence company with a mission to increase the global community's resilience to natural hazards. Founded at Stanford University, One Concern enables cities, corporations, and citizens to embrace a disaster-free future through AI- enabled technology, policy, and finance. By combining data science and natural phenomena science we are pursuing a vision for planetary-scale resilience, where everyone lives in a safe, equitable, and sustainable world.

One Concern is growing rapidly and we are looking for a Data Scientist, Machine Learning to join our Resilience team. In your role, you will build a global-scale resilience model to predict the societal and economic impact and recovery of the built environment against disasters.

**Responsibilities**

  * Build a global-scale resilience model to predict the societal and economic impact and recovery of the built environment against disasters
  * Build and improve existing machine learning models
  * Work with and support domain experts and data scientists in different hazard products
  * Demonstrate up-to-date machine learning skills and apply this to the development, execution, and improvement of action plans
  * Assess the potential usefulness and validity of new statistical approaches and data sources.
  * Identify key problems in prediction models and propose innovative solutions
  * Formulate your own problems as the problem might not always be defined for you
  * Collaborate with an interdisciplinary team of software engineers and data scientists on cross-functional projects, interpreting data, and translating into actionable insights
  * Must be available to work on-site when One Concern's office re-opens, currently projected for 2021

Requirements

  * Ph.D. (preferred) or Master's degree in Machine Learning or Artificial Intelligence, Computer Science, Statistics, Mathematics, Science, Electrical Engineering or related field
  * Strong background of machine learning, deep learning, statistics, and quantitative analytics
  * 2+ years of related experience in hands-on model development
  * Advanced experience with Python (preferred), or R, C/C++, Java
  * Deep understanding of MySQL, Postgres, Redshift, relational databases, etc.

Good to have

  * Experience working on social issues and/or government projects
  * Domain knowledge of natural disasters such as earthquakes, floods, tropical cyclones, etc.
  * Experience in supply-chain modeling, casualty modeling, or a large-scale stochastic simulation
  * Worked on geospatial datasets
  * Strong publication record

Perks and Benefits

  * Market-competitive salary plus equity
  * Comprehensive medical, dental, and vision insurance
  * Daily catered lunches, and a fully-stocked kitchen
  * Generous PTO policy
  * Team off-sites
  * Flexible working hours","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
Game Data Scientist,"Palo Alto, CA",Tencent America,https://www.linkedin.com/jobs/view/game-data-scientist-at-tencent-america-1999325904,https://media-exp1.licdn.com/dms/image/C560BAQHNC9ASSOoUTg/company-logo_100_100/0?e=1606953600&v=beta&t=a0xsHCKpM2TqQQ42K2qxBfCz_UfSOASrCqJxShD4OgU,https://www.linkedin.com/jobs/view/externalApply/1999325904?url=https%3A%2F%2Fgrnh%2Ese%2Fab00833c2us&urlHash=pBbw&trk=public_jobs_apply-link-offsite,3 weeks ago,,"Tencent Games is looking for a Game Data Scientist, who will work closely with the Global Publishing North America Team based in our lovely Palo Alto new office.

This position will have the opportunity to work on one of a kind and the most popular mobile games in time on a wide array of topics:

  * Design various A/B testing to improve the product
  * Conduct User Acquisition (UA) analysis and LTV models
  * Innovate how data science and analytics help the team solve many critical business problems backup by advanced techniques. Such as machine learning, statistical modeling, time series analysis, anomaly detection, classification, clustering methods, and all cool stuff you like!

_Main Responsibilities:_

  * Execute quantitative analyses that translate data into actionable insights. Provide analytical and data-driven decision-making support for critical projects.
  * Develop new insights and analyses that inform decisions and help us continue to improve our business processes.
  * Provide reporting and performance monitoring to different stakeholders using data drawn from diverse sources.

_Desired Skills and Experience:_

  * 3+ years experience as a Data Scientist in a Cross Functional
  * Team B.S. or B.A. in Math, Statistics, Comp Sci, Engineering, or other quantitative field required; advanced degrees preferred
  * Hands-on experience with SQL, dashboard design
  * Python is your go-to language and tool when coming to data science-related works!
  * You are detail-oriented and is a self-starter!
  * You like challenges and knows how to get things done!
  * You are comfortable to work in a fast-paced environment and to meet changing deadlines and priorities on multiple simultaneous projects.
  * You love games and game industry. You are familiar with different games or eager to learn.

Technical Bonus:

Proven Experience working on marketing analytics ***

Proven Experience on marketing mix model

Proven Experience on Procedure Content Generation (PCG) ***

Proven Experience on economy and price models ***

Proven Experience on LTV models ***","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
Data Scientist,"Santa Clara, CA",LeanTaaS,https://www.linkedin.com/jobs/view/data-scientist-at-leantaas-1992847288,https://media-exp1.licdn.com/dms/image/C4D0BAQFTfnqB-s3OSw/company-logo_100_100/0?e=1606953600&v=beta&t=P5DGYPjvDlfmJg0B66lW-Yp8FipfnUPqfsHhNRfDVRk,https://www.linkedin.com/jobs/view/externalApply/1992847288?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fleantaas%2Fdcb596f4-6dec-440a-b857-c78608bf9368%2Fapply%3Flever-source%3DLinkedIn&urlHash=d35v&trk=public_jobs_apply-link-offsite,2 weeks ago,Over 200 applicants,"We're a fast-growing healthcare tech company that develops software that increases patient access to medical care by optimizing how health systems use expensive, constrained resources. More than 300 hospitals, health systems, and cancer centers - including Stanford Health, Duke University Health System, MultiCare Health, UCSF Health, Memorial Sloan Kettering Cancer Center, the University of Texas MD Anderson Cancer Center, UCHealth, OhioHealth, NewYork- Presbyterian, Johns Hopkins Medicine, and others - rely on our products to improve patient access, decrease wait times, and lower the cost of healthcare delivery. We've raised $110+ million dollars from prominent investors in healthcare, including $40 million from Goldman Sachs. Our team includes veteran executives and the brightest minds from Google, McKinsey, Stanford, MIT, Duke, Berkeley, UIUC, and more. CBInsights recently named us among the top 100 AI companies in the world. Healthcare Innovation selected LeanTaaS as the 2019 winner in the Data Analytics category.

We welcome mission-driven data scientists across all experience levels. If our mission of improving patient access to healthcare and their experience is exciting to you, come talk to us!

This role is based in Santa Clara, CA and is not a remote position.

**Responsibilities**

  * Work in a small data science team imbedded into one of our product verticals.
  * Make sense of complex electronic health record (EHR) data related to surgeries, doctors, patients, etc. and help us derive greater value from our data.
  * Enhance our simulation, optimization, and prediction capabilities.
  * Own your projects end-to-end including a technology stack, data consumption, modeling, algorithm development and evaluation, and production deployment.
  * Wear a product hat to ideate and iterate on features and experiences that allow your users to run hospitals like a clock.

Requirements

  * Advanced degree in operations research, machine learning, or a related field and 2+ years of related industry or academic experience.
  * Strong analytical and problem solving skills and a deep understanding in at least one sub-area of operations research or machine learning.
  * Proven command on Python and SQL and are passionate about writing readable code.
  * Excellent collaboration skills with cross-functional species like product managers, data engineers, and data analysts.
  * Ability to communicate complex quantitative matters in a clear, precise, and actionable manner.
  * Great sense of ownership and attention to detail.

LeanTaaS is an equal opportunity employer. We are committed to providing reasonable accommodations and will work with you to meet your needs. If you are a person with a disability and require assistance during the application process, please don't hesitate to reach out.

Please note: LeanTaaS is not accepting agency resumes at this time, and we are not responsible for any fees related to unsolicited resumes. Thank you.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Computer SoftwareInternetHospital & Health Care"
Data Scientist (PhD Entry-Level),"Mountain View, CA",Frequence,https://www.linkedin.com/jobs/view/data-scientist-phd-entry-level-at-frequence-2152219916,https://media-exp1.licdn.com/dms/image/C560BAQEaTjprHby2xQ/company-logo_100_100/0?e=1606953600&v=beta&t=67Hqr8nQfE_bbKcMBNAczY8YZDOnsBQGniWtOfdgxsU,https://www.linkedin.com/jobs/view/externalApply/2152219916?url=http%3A%2F%2Fcareers%2Efrequence%2Ecom%2Fapply%2FyQBifTb9ne%2FData-Scientist-PhD-EntryLevel%3Fsource%3DLILI%23yQBifTb9ne&urlHash=lj2a&trk=public_jobs_apply-link-offsite,4 weeks ago,Be among the first 25 applicants,"## About Frequence

Frequence is a leader in local advertising sales automation and workflow software. The platform increases sales velocity by removing routine tasks and creates personalized, multi-channel proposals and advertising insights. Frequence is 100% privately owned by its employees and has 170 team members across Engineering, Client Success, Operations, Creative, and Sales. We emphasize and value our collaborative, team-focused culture as we continue to grow as an organization.

## Special Considerations (Covid)

Remote Role. This role will be a remote, telecommute only position. All of our empoyees at our corporate headquaters in Mountain View, CA are temporarily working 100% remote until further notice.

If you have applied to this role in the past, please feel free to reapply.

## About This Role

The Data Scientist will collaborate with the lead Data Scientist, BI developers, data engineering, and product development teams as well as senior management and other stakeholders on the development of core technologies. The position requires a results-driven individual who can thrive as an independent researcher and as a key player within a team.

## What You'll Be Doing

  * Apply statistical and advanced techniques (e.g. logistic regression, random forest, neural networks) to develop both prototypes and scalable (i.e. efficient, automated) data analysis tools/procedures
  * Identifying patterns in large datasets and using that information to accomplish business objectives
  * Conduct basic ad-hoc analysis, building models, forecasting, etc
  * Apply marketing experimentation learnings to day-to-day campaign measurement and reporting; forecast impact and provide ongoing recommendations for optimization and efficiency
  * Define requirements, prototype, debug, optimize and productize our next generation algorithms

## Required Qualifications & Skills

  * PhD in Statistics or Mathamatics
  * Strong working knowledge of classification algorithms, data analysis, and data structures
  * Have strong, 2+ years practical programming and scripting skills (Python, R, Matlab, C, and/or C++)
  * Experience processing large data sets using Spark, Hive or other Big Data technologies
  * Experience and understanding of relational databases (Oracle, MySQL, etc)
  * Have deep statistical knowledge, utilizing in A/B testing, analyzing observational data, and modeling

## Preferred Qualifications & Skills

  * Experience with AWS technologies like Redshift, S3, EC2, Athena, Data Pipeline, & EMR
  * RTB or Media Analytics domain experience

## Compensation

  * Entry level compensation with annual review
  * Stock options at a fast-growing, mid-stage startup company
  * 401k
  * Health & dental benefits
  * Free catered lunches daily

Powered by JazzHR

yQBifTb9ne","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Marketing and AdvertisingComputer SoftwareInternet"
